ܫܬܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܫܬܳܐ,ܐܶܫܬܬܺܝ,ܫܰܬܺܝ,ܐܶܫܬܰܬܺܝ,ܐܰܫܬܺܝ,ܐܶܬܫܰܬܬܺܝ
perfect,3FS,ܫܬܳܐܬ,ܐܶܫܬܰܬܝܰܬ,ܫܰܬܝܰܬ,ܐܶܫܬܰܬܝܰܬ,ܐܰܫܬܝܰܬ,ܐܶܬܫܰܬܬܝܰܬ
perfect,2MS,ܫܬܰܝܬ,ܐܶܫܬܬܺܝܬ,ܫܰܬܺܝܬ,ܐܶܫܬܰܬܺܝܬ,ܐܰܫܬܺܝܬ,ܐܶܬܫܰܬܬܺܝܬ
perfect,2FS,ܫܬܰܝܬܝ,ܐܶܫܬܬܺܝܬܝ,ܫܰܬܺܝܬܝ,ܐܶܫܬܰܬܺܝܬܝ,ܐܰܫܬܺܝܬܝ,ܐܶܬܫܰܬܬܺܝܬܝ
perfect,1S,ܫܬܺܝܬ,ܐܶܫܬܰܬܺܝܬ,ܫܰܬܺܝܬ,ܐܶܫܬܰܬܺܝܬ,ܐܰܫܬܺܝܬ,ܐܶܬܫܰܬܬܺܝܬ
perfect,3MP,ܫܬܰܘ,ܐܶܫܬܬܺܝܘ,ܫܰܬܺܝܘ,ܐܶܫܬܰܬܺܝܘ,ܐܰܫܬܺܝܘ,ܐܶܬܫܰܬܬܺܝܘ
perfect,3FP,ܫܬܰܝ̈,ܐܶܫܬܬܺܝ̈,ܫܰܬܺܝ̈,ܐܶܫܬܰܬܺܝ̈,ܐܰܫܬܺܝ̈,ܐܶܬܫܰܬܬܺܝ̈
perfect,2MP,ܫܬܰܝܬܽܘܢ,ܐܶܫܬܬܺܝܬܽܘܢ,ܫܰܬܺܝܬܽܘܢ,ܐܶܫܬܰܬܺܝܬܽܘܢ,ܐܰܫܬܺܝܬܽܘܢ,ܐܶܬܫܰܬܬܺܝܬܽܘܢ
perfect,2FP,ܫܬܰܝܬ̈ܶܝܢ,ܐܶܫܬܬܺܝ̈ܬܶܝܢ,ܫܰܬܺܝܬ̈ܶܝܢ,ܐܶܫܬܰܬܺܝ̈ܬܶܝܢ,ܐܰܫܬܺܝܬ̈ܶܝܢ,ܐܶܬܫܰܬܬܺܝܬܶܝ̈ܢ
perfect,1P,ܫܬܰܝܢ,ܐܶܫܬܬܺܝܢ,ܫܰܬܺܝܢ,ܐܶܫܬܰܬܺܝܢ,ܐܰܫܬܺܝܢ,ܐܶܬܫܰܬܬܺܝܢ
imperfect,3MS,ܢܶܫܬܶܐ,ܢܶܫܬܬܶܐ,ܢܫܰܬܶܐ,ܢܶܫܬܰܬܶܐ,ܢܰܫܬܶܐ,ܢܶܬܫܰܬܬܶܐ
imperfect,3FS,ܬܶܫܬܶܐ,ܬܶܫܬܬܶܐ,ܬܫܰܬܶܐ,ܬܶܫܬܰܬܶܐ,ܬܰܫܬܶܐ,ܬܶܬܫܰܬܬܶܐ
imperfect,2MS,ܬܶܫܬܶܐ,ܬܶܫܬܬܶܐ,ܬܫܰܬܶܐ,ܬܶܫܬܰܬܶܐ,ܬܰܫܬܶܐ,ܬܶܬܫܰܬܬܶܐ
imperfect,2FS,ܬܶܫܬܶܝܢ,ܬܶܫܬܬܶܝܢ,ܬܫܰܬܶܝܢ,ܬܶܫܬܰܬܶܝܢ,ܬܰܫܬܶܝܢ,ܬܶܬܫܰܬܬܶܝܢ
imperfect,1S,ܐܶܫܬܶܐ,ܐܶܫܬܬܶܐ,ܐܶܫܰܬܶܐ,ܐܶܫܬܰܬܶܐ,ܐܰܫܬܶܐ,ܐܶܬܫܰܬܬܶܐ
imperfect,3MP,ܢܶܫܬܽܘܢ,ܢܶܫܬܬܽܘܢ,ܢܫܰܬܽܘܢ,ܢܶܫܬܰܬܽܘܢ,ܢܰܫܬܽܘܢ,ܢܶܬܫܰܬܬܽܘܢ
imperfect,3FP,ܢܶܫܬܝ̈ܳܢ,ܢܶܫܬܰܬܝ̈ܳܢ,ܢܫܰܬܝ̈ܳܢ,ܢܶܫܬܰܬ̈ܝܳܢ,ܢܰܫܬ̈ܳܢ,ܢܶܬܫܰܬܬ̈ܳܢ
imperfect,2MP,ܬܶܫܬܽܘܢ,ܬܶܫܬܬܽܘܢ,ܬܫܰܬܽܘܢ,ܬܶܫܬܰܬܽܘܢ,ܬܰܫܬܽܘܢ,ܬܶܬܫܰܬܬܽܘܢ
imperfect,2FP,ܬܶܫܬܝ̈ܳܢ,ܬܶܫܬܰܬܝ̈ܳܢ,ܬܫܰܬܝ̈ܳܢ,ܬܶܫܬܰܬ̈ܝܳܢ,ܬܰܫܬ̈ܳܢ,ܬܶܬܫܰܬܬ̈ܳܢ
imperfect,1P,ܢܶܫܬܶܐ,ܢܶܫܬܬܶܐ,ܢܫܰܬܶܐ,ܢܶܫܬܰܬܶܐ,ܢܰܫܬܶܐ,ܢܶܬܫܰܬܬܶܐ
imperative,MS,ܫܬܺܝ,ܐܶܫܬܬܰܝ,ܫܰܬܳܐ,ܐܶܫܬܰܬܳܐ,ܐܰܫܬܳܐ,ܐܶܬܫܰܬܬܳܐ
imperative,FS,ܫܬܳܝ,ܐܶܫܬܬܳܝ,ܫܰܬܳܝ,ܐܶܫܬܰܬܳܝ,ܐܰܫܬܳܝ,ܐܶܬܫܰܬܬܳܝ
imperative,MP,ܫܬܰܘ,ܐܶܫܬܬܰܘ,ܫܰܬܰܘ,ܐܶܫܬܰܬܰܘ,ܐܰܫܬܰܘ,ܐܶܬܫܰܬܬܰܘ
imperative,FP,ܫܬܰ̈ܝ,ܐܶܫܬܬܳܝ̈ܶܝܢ?,ܫܰܬܳܝ̈,ܐܶܫܬܰܬܳܝ̈,ܐܰܫܬܳܝ̈,ܐܶܬܫܰܬ̈ܬܳܝ
active-participle,MS,ܫܳܬܶܐ,ܡܶܫܬܬܶܐ,ܡܫܰܬܶܐ,ܡܶܫܬܰܬܶܐ,ܡܰܫܬܶܐ,ܡܶܬܫܰܬܬܶܐ
active-participle,FS,ܫܳܬܝܳܐ,ܡܶܫܬܰܬܝܳܐ,ܡܫܰܬܝܐ,ܡܶܫܬܰܬܝܳܐ,ܡܰܫܬܝܳܐ,ܡܶܬܫܰܬܬܝܳܐ
active-participle,MP,ܫܳܬܶܝܢ,ܡܶܫܬܬܶܝܢ,ܡܫܰܬܶܝܢ,ܡܶܫܬܰܬܶܝܢ,ܡܰܫܬܶܝܢ,ܡܶܬܫܰܬܬܶܝܢ
active-participle,FP,ܫܳܬܝ̈ܳܢ,ܡܶܫܬܰܬܝ̈ܳܢ,ܡܫܰܬܝ̈ܳܢ,ܡܶܫܬܰܬ̈ܝܳܢ,ܡܰܫܬ̈ܝܳܢ,ܡܶܬܫܰܬܬ̈ܝܳܢ
passive-participle,MS,ܫܬܶܐ,,ܡܫܰܬܰܝ,,ܡܰܫܬܰܝ,
passive-participle,FS,ܫܰܬܝܳܐ,,ܡܫܰܬܝܳܐ,,ܡܰܫܬܝܳܐ,
passive-participle,MP,ܫܬܶܝܢ,,ܡܫܰܬܶܝܢ,,ܡܰܫܬܶܝܢ,
passive-participle,FP,ܫܰܬܝ̈ܳܢ,,ܡܫܰܬܝ̈ܳܢ,,ܡܰܫܬ̈ܝܳܢ,
infinitive,,ܡܶܫܬܳܐ,ܡܶܫܬܬܳܝܽܘ,ܡܫܰܬܳܝܽܘ,ܡܶܫܬܰܬܳܝܽܘ,ܡܰܫܬܳܝܽܘ,ܡܶܬܫܰܬܬܳܝܽܘ
