ܒܗܬ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܒܗܶܬ,´ܶܬܒܗܶܬ,ܒܰܗܶܬ,ܐܶܬܒܰܗܰܬ,ܐܰܒܗܶܬ,ܐܶܬܬܰܒܗܰܬ
perfect,3FS,ܒܶܗܬܰܬ,ܐܶܬܒܰܗܬܰܬ,ܒܰܗܬܰܬ,ܐܶܬܒܰܗܬܰܬ,ܐܰܒܗܬܰܬ,ܐܶܬܬܰܒܗܬܰܬ
perfect,2MS,ܒܗܶܬܬ,ܐܶܬܒܗܶܬܬ,ܒܰܗܶܬܬ,ܐܶܬܒܰܗܰܬܬ,ܐܰܒܗܶܬܬ,ܐܶܬܬܰܒܗܰܬܬ
perfect,2FS,ܒܗܶܬܬܝ,ܐܶܬܒܗܶܬܬܝ,ܒܰܗܶܬܬܝ,ܐܶܬܒܰܗܰܬܬܝ,ܐܰܒܗܶܬܬܝ,ܐܶܬܰܒܗܰܬܬܝ
perfect,1S,ܒܶܗܬܶܬ,ܐܶܬܒܰܗܬܶܬ,ܒܰܗܬܶܬ,ܐܶܬܒܰܗܬܶܬ,ܐܰܒܗܬܶܬ,ܐܶܬܰܒܗܬܶܬ
perfect,3MP,ܒܗܶܬܘ,ܐܶܬܒܗܶܬܘ,ܒܰܗܶܬܘ,ܐܶܬܒܰܗܰܬܘ,ܐܰܒܗܶܬܘ,ܐܶܬܬܰܒܗܰܬܘ
perfect,3FP,ܒܗܶܬ̈ܝ,ܐܶܬܒܗܶܬ̈ܝ,ܒܰܗܶܬ̈ܝ,ܐܶܬܒܰܗܰܬ̈ܝ,ܐܰܒܗܶܬ̈ܝ,ܐܶܬܬܰܒܗܰܬ̈ܝ
perfect,2MP,ܒܗܶܬܬܽܘܢ,ܐܶܬܒܗܶܬܬܽܘܢ,ܒܰܗܶܬܬܽܘܢ,ܐܶܬܒܰܗܰܬܬܽܘܢ,ܐܰܒܗܶܬܬܽܘܢ,ܐܶܬܬܰܒܗܰܬܬܽܘܢ
perfect,2FP,ܒܗܶܬܬ̈ܶܝܢ,ܐܶܬܒܗܶܬ̈ܬܶܝܢ,ܒܰܗܶܬܬ̈ܶܝܢ,ܐܶܬܒܰܗܰܬ̈ܬܶܝܢ,ܐܰܒܗܶܬܬ̈ܶܝܢ,ܐܶܬܬܰܒܗܰܬ̈ܬܶܝܢ
perfect,1P,ܒܗܶܬܢ,ܐܶܬܒܗܶܬܢ,ܒܰܗܶܬܢ,ܐܶܬܒܰܗܰܬܢ,ܐܰܒܗܶܬܢ,ܐܶܬܬܰܒܗܰܬܢ
imperfect,3MS,ܢܶܒܗܰܬ,ܢܶܬܒܗܶܬ,ܢܒܰܗܶܬ,ܢܶܬܒܰܗܰܬ,ܢܰܒܗܶܬ,ܢܶܬܬܰܒܗܰܬ
imperfect,3FS,ܬܶܒܗܰܬ,ܬܶܬܒܗܶܬ,ܬܒܰܗܶܬ,ܬܶܬܒܰܗܰܬ,ܬܰܒܗܶܬ,ܬܶܬܰܒܗܰܬܝ
imperfect,2MS,ܬܶܒܗܰܬ,ܬܶܬܒܗܶܬ,ܬܒܰܗܶܬ,ܬܶܬܒܰܗܰܬ,ܬܰܒܗܶܬ,ܬܶܬܰܒܗܰܬ
imperfect,2FS,ܬܶܒܗܬܺܝܢ,ܬܶܬܒܰܗܬܺܝܢ,ܬܒܰܗܬܺܝܢ,ܬܶܬܒܰܗܬܺܝܢ,ܬܰܒܗܬܺܝܢ,ܬܶܬܰܒܗܬܺܝܢ
imperfect,1S,ܐܶܒܗܰܬ,ܐܶܬܒܗܶܬ,ܐܶܒܰܗܶܬ,ܐܶܬܒܰܗܰܬ,ܐܰܒܗܶܬ,ܐܶܬܬܰܒܗܰܬ
imperfect,3MP,ܢܶܒܗܬܽܘܢ,ܢܶܬܒܰܗܬܽܘܢ,ܢܒܰܗܬܽܘܢ,ܢܶܬܒܰܗܬܽܘܢ,ܢܰܒܗܬܽܘܢ,ܢܶܬܬܰܒܗܬܽܘܢ
imperfect,3FP,ܢܶܒ̈ܗܬܳܢ,ܢܶܬܒܰܗܬ̈ܳܢ,ܢܒܰܗܬ̈ܳܢ,ܢܶܬܒܰܗܬ̈ܳܢ,ܢܰܒܗܬ̈ܳܢ,ܢܶܬܬܰܒܗܬ̈ܳܢ
imperfect,2MP,ܬܶܒܗܬܽܘܢ,ܬܶܬܒܰܗܬܽܘܢ,ܬܒܰܗܬܽܘܢ,ܬܶܬܒܰܗܬܽܘܢ,ܬܰܒܗܬܽܘܢ,ܬܶܬܰܒܗܬܽܘܢ
imperfect,2FP,ܬܶܒ̈ܗܬܳܢ,ܬܶܬܒܰܗܬ̈ܳܢ,ܬܒܰܗܬ̈ܳܢ,ܬܶܬܒܰܗܬ̈ܳܢ,ܬܰܒܗܬ̈ܳܢ,ܬܶܬܰܒܗܬ̈ܳܢ
imperfect,1P,ܢܶܒܗܰܬ,ܢܶܬܒܗܶܬ,ܢܒܰܗܶܬ,ܢܶܬܒܰܗܰܬ,ܢܰܒܗܶܬ,ܢܶܬܬܰܒܗܰܬ
imperative,MS,ܒܗܽܘܬ,ܐܶܬܒܰܗܬ,ܒܰܗܶܬ,ܐܶܬܒܰܗܰܬ,ܐܰܒܗܶܬ,ܐܶܬܬܰܒܗܰܬ
imperative,FS,ܒܗܽܘܬܝ,ܐܶܬܒܰܗܬܝ,ܒܰܗܶܬܝ,ܐܶܬܒܰܗܰܬܝ,ܐܰܒܗܶܬܝ,ܐܶܬܬܰܒܗܰܬܝ
imperative,MP,ܒܗܽܘܬܘ,ܐܶܬܒܰܗܬܘ,ܒܰܗܶܬܘ,ܐܶܬܒܰܗܰܬܘ,ܐܰܒܗܶܬܘ,ܐܶܬܬܰܒܗܰܬܘ
imperative,FP,ܒܗܽܘܬ̈ܝ,ܐܶܬܒܰܗܬ̈ܝ,ܒܰܗܶܬ̈ܝ,ܐܶܬܒܰܗܰܬ̈ܝ,ܐܰܒܗܶܬ̈ܝ,ܐܶܬܬܰܒܗܰܬ̈ܝ
active-participle,MS,ܒܳܗܶܬ,ܡܶܬܒܗܶܬ,ܡܒܰܗܶܬ,ܡܶܬܒܰܗܰܬ,ܡܰܒܗܶܬ,ܡܶܬܬܰܒܗܰܬ
active-participle,FS,ܒܳܗܬܳܐ,ܡܶܬܒܰܗܬܳܐ,ܡܒܰܗܬܳܐ,ܡܶܬܒܰܗܬܳܐ,ܡܰܒܗܬܳܐ,ܡܶܬܬܰܒܗܬܳܐ
active-participle,MP,ܒܳܗܬܺܝܢ,ܡܶܬܒܰܗܬܺܝܢ,ܡܒܰܗܬܺܝܢ,ܡܶܬܒܰܗܬܺܝܢ,ܡܰܒܗܬܺܝܢ,ܡܶܬܬܰܒܗܬܺܝܢ
active-participle,FP,ܒܳܗ̈ܬܳܢ,ܡܶܬܒܰܗ̈ܬܳܢ,ܡܒܰܗ̈ܬܳܢ,ܡܶܬܒܰܗܬ̈ܳܢ,ܡܰܒܗܬ̈ܳܢ,ܡܶܬܬܰܒܗܬ̈ܳܢ
passive-participle,MS,ܒܗܺܝܬ,,ܡܒܰܗܰܬ,,ܡܰܒܗܰܬ,
passive-participle,FS,ܒܗܺܝܬܳܐ,,ܡܒܰܗܬܳܐ,,ܡܰܒܗܬܳܐ,
passive-participle,MP,ܒܗܺܝܬܺܝܢ,,ܡܒܰܗܬܺܝܢ,,ܡܰܒܗܬܺܝܢ,
passive-participle,FP,ܒܗܺܝ̈ܬܳܢ,,ܡܒܰܗ̈ܬܳܢ,,ܡܰܒܗ̈ܬܳܢ,
infinitive,,ܡܶܒܗܰܬ,ܡܶܬܒܗܳܬܽܘ,ܡܒܰܗܳܬܽܘ,ܡܶܬܒܰܗܳܬܽܘ,ܡܰܒܗܳܬܽܘ,ܡܶܬܬܰܒܗܳܬܽܘ
