ܕܒܪ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܕܒܰܪ,ܐܶܬܕܒܰܪ,ܕܰܒܰܪ,ܐܶܬܕܰܒܰܪ,ܐܰܕܒܰܪ,ܐܶܬܬܰܕܒܰܪ
perfect,3FS,ܕܶܒܪܰܬ,ܐܶܬܕܰܒܪܰܬ,ܕܰܒܪܰܬ,ܐܶܬܕܰܒܪܰܬ,ܐܰܕܒܪܰܬ,ܐܶܬܬܰܕܒܪܰܬ
perfect,2MS,ܕܒܰܪܬ,ܐܶܬܕܒܰܪܬ,ܕܰܒܰܪܬ,ܐܶܬܕܰܒܰܪܬ,ܐܰܕܒܰܪܬ,ܐܶܬܬܰܕܒܰܪܬ
perfect,2FS,ܕܒܰܪܬܝ,ܐܶܬܕܒܰܪܬܝ,ܕܰܒܰܪܬܝ,ܐܶܬܕܰܒܰܪܬܝ,ܐܰܕܒܰܪܬܝ,ܐܶܬܰܕܒܰܪܬܝ
perfect,1CS,ܕܶܒܪܶܬ,ܐܶܬܕܰܒܪܶܬ,ܕܰܒܪܶܬ,ܐܶܬܕܰܒܪܶܬ,ܐܰܕܒܪܶܬ,ܐܶܬܰܕܒܪܶܬ
perfect,3MP,ܕܒܰܪܘ,ܐܶܬܕܒܰܪܘ,ܕܰܒܰܪܘ,ܐܶܬܕܰܒܰܪܘ,ܐܰܕܒܰܪܘ,ܐܶܬܬܰܕܒܰܪܘ
perfect,3FP,ܕܒܰܪ̈ܝ,ܐܶܬܕܒܰܪ̈ܝ,ܕܰܒܰܪ̈ܝ,ܐܶܬܕܰܒܰܪ̈ܝ,ܐܰܕܒܰܪ̈ܝ,ܐܶܬܬܰܕܒܰܪ̈ܝ
perfect,2MP,ܕܒܰܪܬܽܘܢ,ܐܶܬܕܒܰܪܬܽܘܢ,ܕܰܒܰܪܬܽܘܢ,ܐܶܬܕܰܒܰܪܬܽܘܢ,ܐܰܕܒܰܪܬܽܘܢ,ܐܶܬܬܰܕܒܰܪܬܽܘܢ
perfect,2FP,ܕܒܰܪܬ̈ܶܝܢ,ܐܶܬܕܒܰܪ̈ܬܶܝܢ,ܕܰܒܰܪܬ̈ܶܝܢ,ܐܶܬܕܰܒܰܪ̈ܬܶܝܢ,ܐܰܕܒܰܪܬ̈ܶܝܢ,ܐܶܬܬܰܕܒܰܪ̈ܬܶܝܢ
perfect,1CP,ܕܒܰܪܢ,ܐܶܬܕܒܰܪܢ,ܕܰܒܰܪܢ,ܐܶܬܕܰܒܰܪܢ,ܐܰܕܒܰܪܢ,ܐܶܬܬܰܕܒܰܪܢ
imperfect,3MS,ܢܶܕܒܰܪ,ܢܶܬܕܒܰܪ,ܢܕܰܒܰܪ,ܢܶܬܕܰܒܰܪ,ܢܰܕܒܰܪ,ܢܶܬܬܰܕܒܰܪ
imperfect,3FS,ܬܶܕܒܰܪ,ܬܶܬܕܒܰܪ,ܬܕܰܒܰܪ,ܬܶܬܕܰܒܰܪ,ܬܰܕܒܰܪ,ܬܶܬܬܰܕܒܰܪܝ
imperfect,2MS,ܬܶܕܒܰܪ,ܬܶܬܕܒܰܪ,ܬܕܰܒܰܪ,ܬܶܬܕܰܒܰܪ,ܬܰܕܒܰܪ,ܬܶܬܬܰܕܒܰܪ
imperfect,2FS,ܬܶܕܒܪܺܝܢ,ܬܶܬܕܰܒܪܺܝܢ,ܬܕܰܒܪܺܝܢ,ܬܶܬܕܰܒܪܺܝܢ,ܬܰܕܒܪܺܝܢ,ܬܶܬܬܰܕܒܪܺܝܢ
imperfect,1CS,ܐܶܕܒܰܪ,ܐܶܬܕܒܰܪ,ܐܶܕܰܒܰܪ,ܐܶܬܕܰܒܰܪ,ܐܰܕܒܰܪ,ܐܶܬܬܰܕܒܰܪ
imperfect,3MP,ܢܶܕܒܪܽܘܢ,ܢܶܬܕܰܒܪܽܘܢ,ܢܕܰܒܪܽܘܢ,ܢܶܬܕܰܒܪܽܘܢ,ܢܰܕܒܪܽܘܢ,ܢܶܬܬܰܕܒܪܽܘܢ
imperfect,3FP,ܢܶܕ̈ܒܪܳܢ,ܢܶܬܕܰܒܪ̈ܳܢ,ܢܕܰܒܪ̈ܳܢ,ܢܶܬܕܰܒܪ̈ܳܢ,ܢܰܕܒܪ̈ܳܢ,ܢܶܬܬܰܕܒܪ̈ܳܢ
imperfect,2MP,ܬܶܕܒܪܽܘܢ,ܬܶܬܕܰܒܪܽܘܢ,ܬܕܰܒܪܽܘܢ,ܬܶܬܕܰܒܪܽܘܢ,ܬܰܕܒܪܽܘܢ,ܬܶܬܬܰܕܒܪܽܘܢ
imperfect,2FP,ܬܶܕ̈ܒܪܳܢ,ܬܶܬܕܰܒܪ̈ܳܢ,ܬܕܰܒܪ̈ܳܢ,ܬܶܬܕܰܒܪ̈ܳܢ,ܬܰܕܒܪ̈ܳܢ,ܬܶܬܬܰܕܒܪ̈ܳܢ
imperfect,1CP,ܢܶܕܒܰܪ,ܢܶܬܕܒܰܪ,ܢܕܰܒܰܪ,ܢܶܬܕܰܒܰܪ,ܢܰܕܒܰܪ,ܢܶܬܬܰܕܒܰܪ
imperative,MS,ܕܒܰܪ,ܐܶܬܕܰܒܪ,ܕܰܒܰܪ,ܐܶܬܕܰܒܰܪ,ܐܰܕܒܰܪ,ܐܶܬܬܰܕܒܰܪ
imperative,FS,ܕܒܰܪܝ,ܐܶܬܕܰܒܪܝ,ܕܰܒܰܪܝ,ܐܶܬܕܰܒܰܪܝ,ܐܰܕܒܰܪܝ,ܐܶܬܬܰܕܒܰܪܝ
imperative,MP,ܕܒܰܪܘ,ܐܶܬܕܰܒܪܘ,ܕܰܒܰܪܘ,ܐܶܬܕܰܒܰܪܘ,ܐܰܕܒܰܪܘ,ܐܶܬܬܰܕܒܰܪܘ
imperative,FP,ܕܒܰܪ̈ܝ,ܐܶܬܕܰܒܪ̈ܝ,ܕܰܒܰܪ̈ܝ,ܐܶܬܕܰܒܰܪ̈ܝ,ܐܰܕܒܰܪ̈ܝ,ܐܶܬܬܰܕܒܰܪ̈ܝ
active-participle,MS,ܕܳܒܰܪ,ܡܶܬܕܒܰܪ,ܡܕܰܒܰܪ,ܡܶܬܕܰܒܰܪ,ܡܰܕܒܰܪ,ܡܶܬܬܰܕܒܰܪ
active-participle,FS,ܕܳܒܪܳܐ,ܡܶܬܕܰܒܪܳܐ,ܡܕܰܒܪܳܐ,ܡܶܬܕܰܒܪܳܐ,ܡܰܕܒܪܳܐ,ܡܶܬܬܰܕܒܪܳܐ
active-participle,MP,ܕܳܒܪܺܝܢ,ܡܶܬܕܰܒܪܺܝܢ,ܡܕܰܒܪܺܝܢ,ܡܶܬܕܰܒܪܺܝܢ,ܡܰܕܒܪܺܝܢ,ܡܶܬܬܰܕܒܪܺܝܢ
active-participle,FP,ܕܳܒ̈ܪܳܢ,ܡܶܬܕܰܒܪ̈ܳܢ,ܡܕܰܒܪ̈ܳܢ,ܡܶܬܕܰܒܪ̈ܳܢ,ܡܰܕܒܪ̈ܳܢ,ܡܶܬܬܰܕܒܪ̈ܳܢ
passive-participle,MS,ܕܒܺܝܪ,,ܡܕܰܒܰܪ,,ܡܰܕܒܰܪ,
passive-participle,FS,ܕܒܺܝܪܳܐ,,ܡܕܰܒܪܳܐ,,ܡܰܕܒܪܳܐ,
passive-participle,MP,ܕܒܺܝܪܺܝܢ,,ܡܕܰܒܪܺܝܢ,,ܡܰܕܒܪܺܝܢ,
passive-participle,FP,ܕܒܺܝ̈ܪܳܢ,,ܡܕܰܒ̈ܪܳܢ,,ܡܰܕܒ̈ܪܳܢ,
infinitive,,ܡܶܕܒܰܪ,ܡܶܬܕܒܳܪܽܘ,ܡܕܰܒܳܪܽܘ,ܡܶܬܕܰܒܳܪܽܘ,ܡܰܕܒܳܪܽܘ,ܡܶܬܬܰܕܒܳܪܽܘ
