ܠܒܫ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܠܒܶܫ,´ܶܬܠܒܶܫ,ܠܰܒܶܫ,ܐܶܬܠܰܒܰܫ,ܐܰܠܒܶܫ,ܐܶܬܬܰܠܒܰܫ
perfect,3FS,ܠܶܒܫܰܬ,ܐܶܬܠܰܒܫܰܬ,ܠܰܒܫܰܬ,ܐܶܬܠܰܒܫܰܬ,ܐܰܠܒܫܰܬ,ܐܶܬܬܰܠܒܫܰܬ
perfect,2MS,ܠܒܶܫܬ,ܐܶܬܠܒܶܫܬ,ܠܰܒܶܫܬ,ܐܶܬܠܰܒܰܫܬ,ܐܰܠܒܶܫܬ,ܐܶܬܬܰܠܒܰܫܬ
perfect,2FS,ܠܒܶܫܬܝ,ܐܶܬܠܒܶܫܬܝ,ܠܰܒܶܫܬܝ,ܐܶܬܠܰܒܰܫܬܝ,ܐܰܠܒܶܫܬܝ,ܐܶܬܰܠܒܰܫܬܝ
perfect,1S,ܠܶܒܫܶܬ,ܐܶܬܠܰܒܫܶܬ,ܠܰܒܫܶܬ,ܐܶܬܠܰܒܫܶܬ,ܐܰܠܒܫܶܬ,ܐܶܬܰܠܒܫܶܬ
perfect,3MP,ܠܒܶܫܘ,ܐܶܬܠܒܶܫܘ,ܠܰܒܶܫܘ,ܐܶܬܠܰܒܰܫܘ,ܐܰܠܒܶܫܘ,ܐܶܬܬܰܠܒܰܫܘ
perfect,3FP,ܠܒܶܫ̈ܝ,ܐܶܬܠܒܶܫ̈ܝ,ܠܰܒܶܫ̈ܝ,ܐܶܬܠܰܒܰܫ̈ܝ,ܐܰܠܒܶܫ̈ܝ,ܐܶܬܬܰܠܒܰܫ̈ܝ
perfect,2MP,ܠܒܶܫܬܽܘܢ,ܐܶܬܠܒܶܫܬܽܘܢ,ܠܰܒܶܫܬܽܘܢ,ܐܶܬܠܰܒܰܫܬܽܘܢ,ܐܰܠܒܶܫܬܽܘܢ,ܐܶܬܬܰܠܒܰܫܬܽܘܢ
perfect,2FP,ܠܒܶܫܬ̈ܶܝܢ,ܐܶܬܠܒܶܫ̈ܬܶܝܢ,ܠܰܒܶܫܬ̈ܶܝܢ,ܐܶܬܠܰܒܰܫ̈ܬܶܝܢ,ܐܰܠܒܶܫܬ̈ܶܝܢ,ܐܶܬܬܰܠܒܰܫ̈ܬܶܝܢ
perfect,1P,ܠܒܶܫܢ,ܐܶܬܠܒܶܫܢ,ܠܰܒܶܫܢ,ܐܶܬܠܰܒܰܫܢ,ܐܰܠܒܶܫܢ,ܐܶܬܬܰܠܒܰܫܢ
imperfect,3MS,ܢܶܠܒܰܫ,ܢܶܬܠܒܶܫ,ܢܠܰܒܶܫ,ܢܶܬܠܰܒܰܫ,ܢܰܠܒܶܫ,ܢܶܬܬܰܠܒܰܫ
imperfect,3FS,ܬܶܠܒܰܫ,ܬܶܬܠܒܶܫ,ܬܠܰܒܶܫ,ܬܶܬܠܰܒܰܫ,ܬܰܠܒܶܫ,ܬܶܬܰܠܒܰܫܝ
imperfect,2MS,ܬܶܠܒܰܫ,ܬܶܬܠܒܶܫ,ܬܠܰܒܶܫ,ܬܶܬܠܰܒܰܫ,ܬܰܠܒܶܫ,ܬܶܬܰܠܒܰܫ
imperfect,2FS,ܬܶܠܒܫܺܝܢ,ܬܶܬܠܰܒܫܺܝܢ,ܬܠܰܒܫܺܝܢ,ܬܶܬܠܰܒܫܺܝܢ,ܬܰܠܒܫܺܝܢ,ܬܶܬܰܠܒܫܺܝܢ
imperfect,1S,ܐܶܠܒܰܫ,ܐܶܬܠܒܶܫ,ܐܶܠܰܒܶܫ,ܐܶܬܠܰܒܰܫ,ܐܰܠܒܶܫ,ܐܶܬܬܰܠܒܰܫ
imperfect,3MP,ܢܶܠܒܫܽܘܢ,ܢܶܬܠܰܒܫܽܘܢ,ܢܠܰܒܫܽܘܢ,ܢܶܬܠܰܒܫܽܘܢ,ܢܰܠܒܫܽܘܢ,ܢܶܬܬܰܠܒܫܽܘܢ
imperfect,3FP,ܢܶܠ̈ܒܫܳܢ,ܢܶܬܠܰܒܫ̈ܳܢ,ܢܠܰܒܫ̈ܳܢ,ܢܶܬܠܰܒܫ̈ܳܢ,ܢܰܠܒܫ̈ܳܢ,ܢܶܬܬܰܠܒܫ̈ܳܢ
imperfect,2MP,ܬܶܠܒܫܽܘܢ,ܬܶܬܠܰܒܫܽܘܢ,ܬܠܰܒܫܽܘܢ,ܬܶܬܠܰܒܫܽܘܢ,ܬܰܠܒܫܽܘܢ,ܬܶܬܰܠܒܫܽܘܢ
imperfect,2FP,ܬܶܠ̈ܒܫܳܢ,ܬܶܬܠܰܒܫ̈ܳܢ,ܬܠܰܒܫ̈ܳܢ,ܬܶܬܠܰܒܫ̈ܳܢ,ܬܰܠܒܫ̈ܳܢ,ܬܶܬܰܠܒܫ̈ܳܢ
imperfect,1P,ܢܶܠܒܰܫ,ܢܶܬܠܒܶܫ,ܢܠܰܒܶܫ,ܢܶܬܠܰܒܰܫ,ܢܰܠܒܶܫ,ܢܶܬܬܰܠܒܰܫ
imperative,MS,ܠܒܰܫ,ܐܶܬܠܰܒܫ,ܠܰܒܶܫ,ܐܶܬܠܰܒܰܫ,ܐܰܠܒܶܫ,ܐܶܬܬܰܠܒܰܫ
imperative,FS,ܠܒܰܫܝ,ܐܶܬܠܰܒܫܝ,ܠܰܒܶܫܝ,ܐܶܬܠܰܒܰܫܝ,ܐܰܠܒܶܫܝ,ܐܶܬܬܰܠܒܰܫܝ
imperative,MP,ܠܒܰܫܘ,ܐܶܬܠܰܒܫܘ,ܠܰܒܶܫܘ,ܐܶܬܠܰܒܰܫܘ,ܐܰܠܒܶܫܘ,ܐܶܬܬܰܠܒܰܫܘ
imperative,FP,ܠܒܰܫ̈ܝ,ܐܶܬܠܰܒܫ̈ܝ,ܠܰܒܶܫ̈ܝ,ܐܶܬܠܰܒܰܫ̈ܝ,ܐܰܠܒܶܫ̈ܝ,ܐܶܬܬܰܠܒܰܫ̈ܝ
active-participle,MS,ܠܳܒܶܫ,ܡܶܬܠܒܶܫ,ܡܠܰܒܶܫ,ܡܶܬܠܰܒܰܫ,ܡܰܠܒܶܫ,ܡܶܬܬܰܠܒܰܫ
active-participle,FS,ܠܳܒܫܳܐ,ܡܶܬܠܰܒܫܳܐ,ܡܠܰܒܫܳܐ,ܡܶܬܠܰܒܫܳܐ,ܡܰܠܒܫܳܐ,ܡܶܬܬܰܠܒܫܳܐ
active-participle,MP,ܠܳܒܫܺܝܢ,ܡܶܬܠܰܒܫܺܝܢ,ܡܠܰܒܫܺܝܢ,ܡܶܬܠܰܒܫܺܝܢ,ܡܰܠܒܫܺܝܢ,ܡܶܬܬܰܠܒܫܺܝܢ
active-participle,FP,ܠܳܒ̈ܫܳܢ,ܡܶܬܠܰܒ̈ܫܳܢ,ܡܠܰܒ̈ܫܳܢ,ܡܶܬܠܰܒܫ̈ܳܢ,ܡܰܠܒܫ̈ܳܢ,ܡܶܬܬܰܠܒܫ̈ܳܢ
passive-participle,MS,ܠܒܺܝܫ,,ܡܠܰܒܰܫ,,ܡܰܠܒܰܫ,
passive-participle,FS,ܠܒܺܝܫܳܐ,,ܡܠܰܒܫܳܐ,,ܡܰܠܒܫܳܐ,
passive-participle,MP,ܠܒܺܝܫܺܝܢ,,ܡܠܰܒܫܺܝܢ,,ܡܰܠܒܫܺܝܢ,
passive-participle,FP,ܠܒܺܝ̈ܫܳܢ,,ܡܠܰܒ̈ܫܳܢ,,ܡܰܠܒ̈ܫܳܢ,
infinitive,,ܡܶܠܒܰܫ,ܡܶܬܠܒܳܫܽܘ,ܡܠܰܒܳܫܽܘ,ܡܶܬܠܰܒܳܫܽܘ,ܡܰܠܒܳܫܽܘ,ܡܶܬܬܰܠܒܳܫܽܘ